Country,Year,Life expectancy,"Number of death due to tuberculosis, excluding HIV",Age-standarized suicide rates (per 100000 population),Total NCD Death(inthousands),Per adult national income,"School enrollment, tertiary (% gross)",Prevalence of undernourishment (% of population)
El Salvador,2015,21.76,62,6.78,445.2,6067.5348,27.97005081,10.6
El Salvador,2019,22.12,61,6.11,392.7,7504.6074,29.9244194,8.3
Equatorial Guinea,2000,15.49,190,19.35,779.2,13011.7719,1.852880001,
Equatorial Guinea,2010,17.61,460,15.27,653.4,27121.9084,,
Equatorial Guinea,2015,17.72,500,15.33,653.2,13977.0494,,
Equatorial Guinea,2019,17.64,830,13.51,637.1,5739.1248,,
Eritrea,2000,13.51,160,23.41,838.3,2968.7584,1.956069946,
Eritrea,2010,14.53,750,20.53,775.3,1583.1897,3.241909981,
Eritrea,2015,15.08,600,18.69,741.7,1885.6791,3.476500034,
Eritrea,2019,15.5,540,17.26,713.6,2249.0881,,
Estonia,2000,18.61,110,24.98,707.8,69777.747,54.5440712,3.6
Estonia,2010,20.75,42,15.42,538.7,99979.4094,68.18450928,2.5
Estonia,2015,21.92,22,13.36,472.2,127039.0893,72.1676178,2.5
Estonia,2019,22.53,16,11.96,426.5,145981.4798,74.231987,2.5
Ethiopia,2000,14.15,57000,18.39,725.9,1697.5685,1.186560035,47
Ethiopia,2010,17.28,32000,13.1,565,4778.9432,7.483180046,24.7
Ethiopia,2015,18.08,27000,9.98,522.3,6504.4297,9.584710121,14.8
Ethiopia,2019,18.45,22000,9.45,511.3,8273.7768,,21.9
Fiji,2000,14.7,16,11.69,1088,11149.4574,,4
Fiji,2010,15.78,26,10.12,962.2,11334.5342,,5.6
Fiji,2015,15.99,36,10.01,942.1,13455.9424,,6.5
Fiji,2019,16.18,40,9.51,923.4,14240.694,53.49316025,4.9
Finland,2000,21.6,130,21.74,450.8,135696.7905,82.3295517,2.5
Finland,2010,23.29,48,16.44,386.1,179010.4871,93.44780731,2.5
Finland,2015,23.91,33,12.15,351.3,184932.9323,87.67987061,2.5
Finland,2019,24.16,30,13.43,334.3,196228.5508,92.95500946,2.5
France,2000,23.01,1100,15.81,392.3,147253.8141,50.60308075,2.5
France,2010,24.71,640,13.89,325.2,219799.8931,54.8817215,2.5
France,2015,25.01,470,11.48,305.3,211273.8871,62.78593063,2.5
France,2019,25.34,440,9.65,290.1,234396.3512,68.35790253,2.5
Gabon,2000,15.23,950,19.36,804.5,5588.4547,,10.7
Gabon,2010,16.36,1400,15.77,709.6,21744.3285,,14.7
Gabon,2015,16.91,1400,15.17,672.5,24864.1903,,13.9
Gabon,2019,17.17,1900,13.11,613.3,24345.2226,21.06587029,16.6
The Gambia,2000,16.21,370,11.14,644,9234.3572,,17.8
The Gambia,2010,16.45,460,10.64,630,8436.1208,1.957980037,10.4
The Gambia,2015,16.67,480,10.29,617.6,5264.1391,,11
